pedido|area_operativa|subz|ruta|municipio|contrato|acta|actividad|fecha_estado|pagina|urbrur|tipre|red_interna|tipo_operacion|descent|tipo|cobro|suminis|item_cont|item_res|cantidad|vlr_cliente|valor_costo|tipo_item
23647778|SUR-ENE|MET|05|Medellín|CW352017|5|ALEGA|02-FEB-26|055224203000580602|U|||MET||CON|SI||C02U|C02U|1|141043|43919.5|
23638106|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011202|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638106|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011202|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||SUM|NO|200098||200098|1|0|172852.32|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||SUM|SI|211829||211829|1|0|43582.32|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||SUM|NO|215887||215887|1|0|1134.85|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||SUM|NO|219404||219404|1|0|400|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||SUM|NO|325998||325998|1|0|1805|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||CON|NO||A02U||1|0|63259.22|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||CON|NO||A10U||1|0|61578.18|
23644378|SUR-ENE|MET|05|Medellín|CW352017||DSPRE|04-FEB-26|045515005400020301|U|ENEPRE||MET||CON|NO||A14U||1|0|132639.22|
23638151|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100010806|U|||MET||SUM|NO|219404A||219404A|1|0|400|
23638151|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|11-FEB-26|024418502100010806|U|||MET||CON|SI||C04U|C04U|1|141043|26664.05|
23638153|SUR-ENE|MET|266|Envigado|CW352017||ALEGA|12-FEB-26|024418502100011409|U|||MET||SUM|NO|219404A||219404A|1|0|400|
